MOL_smiles,pIC50,Gene_Symbol,Original_Entry_ID
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCC1,6.5,EGFR,CHEMBL1242568
Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,6.12,EGFR,CHEMBL1242572
CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,6.68,EGFR,CHEMBL1242476
CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241683
CCn1nc(-c2ccc(OC)c(O)c2)c2c(N)ncnc21,5.19,EGFR,CHEMBL1242113
COc1ccc(-c2[nH]nc3ncnc(N)c23)cc1O,4.0,EGFR,CHEMBL1241300
CC(C)n1nc(-c2ccc3c(C=O)c[nH]c3c2)c2c(N)ncnc21,6.2,EGFR,CHEMBL1242666
CC(C)n1nc(-c2ccc3ncnc(O)c3c2)c2c(N)ncnc21,5.13,EGFR,CHEMBL1241776
CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21,6.6,EGFR,CHEMBL1242285
COc1ccc(-c2nn(C3CCC(C)C3)c3ncnc(N)c23)cc1O,6.57,EGFR,CHEMBL1242202
Cn1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,5.54,EGFR,CHEMBL1240566
CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,5.43,EGFR,CHEMBL1242110
CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21,5.96,EGFR,CHEMBL1242386
CC(C)n1nc(-c2ccc3c(ccn3C)c2)c2c(N)ncnc21,6.02,EGFR,CHEMBL1242384
CC(C)n1nc(-c2ccc3nc(O)ccc3c2)c2c(N)ncnc21,5.17,EGFR,CHEMBL1241863
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CCC1CCCNC1,4.69,EGFR,CHEMBL1241943
CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241391
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCNC1,4.91,EGFR,CHEMBL1241677
CC(C)n1nc(-c2cccc(N=S(C)(=O)O)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241948
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCCC1,7.17,EGFR,CHEMBL1241676
Cn1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,4.47,EGFR,CHEMBL1242756
COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,5.48,EGFR,CHEMBL1240553
